Game,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date,Unnamed: 0,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio
Street Fighter 30th Anniversary Collection,500000.0,280000.0,120000.0,30000.0,70000.0,81.3,7.3,2018-05-29,1436,38163660,1051440,31202,93,5359,72,1,60.82
Street Fighter Alpha 3,150000.0,110000.0,40000.0,0.0,0.0,83.0,8.2,2002-12-01,3133,9609420,201600,47467,12,903,16,0,235.14
Street Fighter Alpha 3 MAX,330000.0,270000.0,10000.0,20000.0,30000.0,80.0,8.1,2006-02-07,8348,870060,12000,7360,4,69,1,0,164.23999999999995
Street Fighter Alpha Anthology,240000.0,110000.0,80000.0,20000.0,30000.0,79.0,8.2,2006-06-13,21705,20340,2640,249,1,17,0,0,7.7
Street Fighter EX3,850000.0,320000.0,250000.0,200000.0,80000.0,64.0,7.9,2000-10-24,6090,2093580,5280,17500,3,37,3,0,797.27
Street Fighter IV,7270000.0,3940000.0,1800000.0,740000.0,800000.0,92.7,7.5,2009-02-17,3917,6018660,331200,20719,18,1886,8,0,86.64999999999998
Street Fighter V,1460000.0,640000.0,480000.0,120000.0,220000.0,75.5,3.4,2016-02-16,51,4675465740,67968660,618779,760,68412,9480,134,292.19000000000005
Street Fighter X Tekken,1340000.0,740000.0,340000.0,130000.0,140000.0,82.0,5.4,2012-03-06,3928,5983500,253560,23641,15,941,8,0,120.6
Street Hoops,1190000.0,660000.0,410000.0,0.0,130000.0,60.0,7.8,2002-08-12,18296,53520,360,436,1,5,0,0,148.67
Stretch Panic,50000.0,20000.0,20000.0,0.0,10000.0,65.0,7.8,2001-08-28,12783,234600,2640,1416,1,9,0,0,88.86
Strider 2,80000.0,50000.0,30000.0,0.0,10000.0,69.0,8.3,2000-07-29,4870,3733380,11760,90293,8,50,6,0,528.05
Stuart Little 3: Big Photo Adventure,80000.0,40000.0,30000.0,0.0,10000.0,71.0,7.9,2005-11-14,23450,9000,2640,9,1,6,0,0,3.41
Stubbs the Zombie in Rebel Without a Pulse,110000.0,80000.0,20000.0,0.0,0.0,75.0,8.5,2005-10-18,9550,597720,83340,824,10,239,0,0,36.12000000000001
Stunt GP,50000.0,20000.0,20000.0,0.0,10000.0,49.0,8.4,2001-11-13,24158,3960,720,14,1,2,0,0,5.5
Stuntman,1590000.0,790000.0,600000.0,0.0,200000.0,74.0,6.2,2002-06-23,13814,177780,11040,617,4,39,0,0,49.22
Stuntman: Ignition,1430000.0,550000.0,670000.0,0.0,200000.0,74.0,6.5,2007-08-28,6216,1975980,37320,4617,11,232,3,0,182.38
Style Savvy: Fashion Forward,240000.0,0.0,0.0,240000.0,0.0,78.0,6.9,2016-08-19,12959,223740,3540,292,1,7,0,0,63.2
Style Savvy: Styling Star,450000.0,0.0,290000.0,140000.0,20000.0,80.0,7.2,2017-12-25,13473,195180,16140,129,3,17,0,0,39.08
Styx: Shards of Darkness,130000.0,110000.0,0.0,0.0,20000.0,72.0,7.3,2017-03-14,1913,23326800,1377300,16169,94,4576,43,1,42.18
Subnautica,190000.0,130000.0,30000.0,0.0,30000.0,80.5,7.8,2018-12-04,111,1780386900,74512620,210143,1015,161563,3383,139,139.44
Sudden Strike 4,100000.0,50000.0,30000.0,10000.0,20000.0,63.0,7.3,2017-08-15,5806,2390700,437760,3170,37,1307,3,0,14.590000000000002
Sudeki,190000.0,140000.0,40000.0,0.0,10000.0,72.0,8.3,2004-07-20,4872,3727140,143820,5454,9,329,5,0,109.92
Suikoden II,680000.0,150000.0,100000.0,380000.0,40000.0,82.0,9.2,1999-09-29,2233,17610900,1256820,16863,23,1061,32,0,69.85
Suikoden IV,660000.0,170000.0,130000.0,300000.0,50000.0,63.0,7.5,2005-01-11,9359,635700,123600,104,8,118,0,0,15.51
Suikoden Tierkreis,270000.0,90000.0,20000.0,150000.0,10000.0,76.0,7.8,2009-03-17,12413,258060,37080,78,4,29,0,0,20.75
Summer Sports: Paradise Island,540000.0,480000.0,20000.0,0.0,40000.0,46.0,4.6,2008-04-15,16934,76740,360,253,1,1,0,0,213.17
Summon Night 6: Lost Borders,180000.0,50000.0,0.0,120000.0,20000.0,71.5,7.2,2017-10-31,11322,350580,21780,229,5,52,0,0,24.88
Summon Night: Swordcraft Story,20000.0,20000.0,10000.0,0.0,0.0,77.0,8.2,2006-07-26,11312,351780,73260,227,9,162,0,0,17.900000000000006
Summoner,510000.0,250000.0,200000.0,0.0,70000.0,74.0,7.5,2000-10-25,11706,314400,68520,405,8,145,0,0,18.39
Sunset Overdrive,1160000.0,640000.0,420000.0,0.0,100000.0,81.0,7.8,2014-10-28,1786,26692080,5356920,39202,429,33283,49,7,27.86
Super Bomberman R,960000.0,370000.0,320000.0,220000.0,70000.0,64.0,6.5,2017-03-03,2354,15919140,668400,16899,61,3450,29,0,78.8
Super Bust-A-Move,50000.0,30000.0,10000.0,0.0,0.0,77.0,7.0,2001-11-27,12496,252420,120,4285,2,2,0,0,2103.5
Super Dragon Ball Z,370000.0,90000.0,70000.0,190000.0,20000.0,72.0,6.6,2006-07-18,6132,2055180,24300,16109,6,78,3,0,258.08
Super Dungeon Bros,30000.0,20000.0,0.0,0.0,10000.0,43.0,1.9,2016-11-01,7884,1023300,144420,1718,29,981,1,0,17.35
Super Lucky's Tale,220000.0,130000.0,70000.0,0.0,20000.0,64.0,7.0,2017-11-07,3711,6852660,604620,7678,26,2754,12,0,34.36
Super Meat Boy,10000.0,0.0,0.0,0.0,0.0,85.0,6.9,2016-04-29,674,143271360,5620140,445215,144,38905,269,7,130.14
Super Monkey Ball,1460000.0,950000.0,370000.0,100000.0,40000.0,87.0,8.1,2001-11-17,1836,25582440,571980,179069,34,1626,47,0,200.75
Super Monkey Ball 2,1520000.0,1110000.0,310000.0,60000.0,40000.0,87.0,8.4,2002-08-25,1029,68837940,1675200,299632,43,2682,129,1,191.96
Super Monkey Ball Adventure,260000.0,180000.0,60000.0,0.0,10000.0,53.3,6.7,2006-08-01,3615,7272360,37260,180170,11,103,13,0,1074.11
Super Monkey Ball Deluxe,390000.0,230000.0,120000.0,0.0,40000.0,79.5,8.0,2005-03-15,1812,26013060,165480,196209,22,279,48,0,514.34
Super Monkey Ball Jr.,720000.0,510000.0,190000.0,0.0,10000.0,82.0,7.5,2002-11-19,23225,10020,1620,45,1,13,0,0,6.19
Super Neptunia RPG,10000.0,0.0,0.0,10000.0,0.0,60.0,3.7,2019-03-31,6276,1928580,195900,1073,25,470,3,0,20.32
Super Puzzle Fighter II Turbo,140000.0,80000.0,50000.0,0.0,10000.0,83.0,8.5,1996-11-30,6100,2088900,103380,9276,11,333,3,0,93.38
Super Scribblenauts,1470000.0,1060000.0,300000.0,0.0,110000.0,81.0,8.3,2010-10-12,8239,907800,4680,8401,5,18,1,0,313.47
Super Street Fighter II: Turbo Revival,250000.0,180000.0,70000.0,0.0,0.0,84.0,7.9,2001-10-30,14931,130980,6480,203,1,23,0,0,20.21
Supercar Street Challenge,1120000.0,550000.0,430000.0,0.0,140000.0,57.0,7.2,2001-10-22,23926,4980,480,14,1,1,0,0,10.38
Superdimension Neptune vs Sega Hard Girls,30000.0,0.0,30000.0,0.0,10000.0,72.0,8.1,2016-10-18,8021,975720,123300,1219,8,217,1,0,24.37
Superman Returns,330000.0,300000.0,10000.0,0.0,30000.0,42.0,5.3,2006-11-20,10381,464160,4620,3032,3,23,0,0,497.17
Supremacy MMA,310000.0,150000.0,110000.0,0.0,50000.0,46.3,6.2,2011-09-20,12883,228240,2040,2009,3,15,0,0,210.9
Supreme Commander,130000.0,70000.0,50000.0,0.0,20000.0,71.0,7.4,2008-06-23,7182,1342740,167340,3951,8,423,1,0,22.12
Supreme Commander: Forged Alliance,40000.0,10000.0,20000.0,0.0,0.0,81.0,8.8,2007-11-06,1431,38568960,3138000,11349,47,4076,71,2,55.69
Supreme Ruler: Cold War,30000.0,0.0,30000.0,0.0,0.0,63.0,6.7,2011-07-19,22309,16200,1080,28,1,2,0,0,15.0
