name,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
SingStar,1130000.0,450000.0,560000.0,0.0,120000.0,82.0,6.1,2008-05-20
SingStar '80s,1300000.0,270000.0,20000.0,0.0,1020000.0,78.0,8.1,2007-09-18
SingStar Abba,2290000.0,500000.0,550000.0,0.0,1250000.0,67.0,6.8,2008-12-02
SingStar Celebration,230000.0,40000.0,150000.0,0.0,30000.0,65.0,6.0,2017-10-24
SingStar Dance,520000.0,90000.0,320000.0,0.0,110000.0,65.0,3.9,2010-11-09
SingStar Legends,1100000.0,120000.0,750000.0,0.0,230000.0,76.0,6.8,2008-11-04
SingStar Pop,1440000.0,40000.0,1080000.0,0.0,320000.0,73.0,7.4,2007-04-03
SingStar Queen,1070000.0,190000.0,370000.0,0.0,510000.0,73.5,7.2,2009-08-04
Singularity,50000.0,0.0,40000.0,0.0,10000.0,76.0,7.8,2010-06-29
Sins of a Solar Empire,30000.0,0.0,30000.0,0.0,0.0,87.0,8.2,2008-02-04
Sins of a Solar Empire: Trinity,30000.0,0.0,30000.0,0.0,10000.0,74.0,7.9,2010-02-26
Siren,180000.0,90000.0,70000.0,0.0,20000.0,72.0,8.0,2003-11-06
Siren: Blood Curse,280000.0,0.0,170000.0,90000.0,10000.0,78.0,8.0,2008-07-24
Six Flags Fun Park,580000.0,440000.0,90000.0,0.0,50000.0,38.5,7.0,2009-03-03
Skate,1080000.0,910000.0,70000.0,0.0,90000.0,85.5,8.2,2007-09-14
Skate 2,1930000.0,1280000.0,420000.0,20000.0,210000.0,84.0,8.0,2009-01-21
Skate 3,2030000.0,790000.0,930000.0,0.0,320000.0,80.0,7.8,2010-05-11
Skate it,170000.0,140000.0,20000.0,0.0,10000.0,72.0,7.8,2008-11-19
Skies of Arcadia,90000.0,0.0,0.0,90000.0,0.0,93.0,8.9,2000-11-13
Skies of Arcadia Legends,220000.0,170000.0,40000.0,0.0,10000.0,84.0,8.7,2003-01-27
Skullgirls: 2nd Encore,30000.0,0.0,0.0,30000.0,0.0,79.0,7.5,2016-04-14
Skylanders Giants,5520000.0,2990000.0,1960000.0,0.0,590000.0,74.8,6.2,2012-10-21
Skylanders Imaginators,1950000.0,880000.0,830000.0,0.0,220000.0,70.3,5.8,2016-10-16
Skylanders SWAP Force,6320000.0,3560000.0,2080000.0,0.0,690000.0,78.4,5.7,2013-10-13
Skylanders: Spyro's Adventure,5380000.0,2650000.0,2120000.0,0.0,610000.0,78.4,5.1,2011-10-16
Skylanders: SuperChargers,2420000.0,1470000.0,670000.0,0.0,290000.0,76.8,5.0,2015-09-20
Skylanders: Trap Team,4620000.0,2460000.0,1640000.0,0.0,510000.0,70.9,5.8,2014-10-05
Sled Storm,450000.0,220000.0,170000.0,0.0,60000.0,73.0,8.0,2002-03-11
Sleeping Dogs,1910000.0,690000.0,900000.0,60000.0,250000.0,81.5,7.8,2012-08-14
Sleeping Dogs: Definitive Edition,640000.0,260000.0,300000.0,0.0,90000.0,76.0,7.6,2014-10-14
Slime Rancher,200000.0,160000.0,0.0,0.0,30000.0,74.5,7.2,2018-09-04
