,game,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
126,shadow of the colossus,279182880,6682020,244949,560,25747,528,10,170.32,2340000.0,1220000.0,550000.0,250000.0,320000.0,91.0,8.4,2018-02-06
127,state of decay 2,270450540,20161440,88526,1247,52495,513,38,21.31,460000.0,270000.0,140000.0,0.0,40000.0,66.0,5.3,2018-05-22
128,mass effect 3,266237040,15846780,55634,270,21474,949,32,166.91000000000003,5460000.0,2990000.0,1870000.0,60000.0,550000.0,91.7,5.8,2012-03-06
129,killing floor 2,259104000,44954640,196983,780,148050,490,84,32.0,60000.0,50000.0,0.0,0.0,10000.0,79.0,6.8,2017-08-29
130,nhl 17,258894300,9487440,18562,191,29495,490,16,292.23,1120000.0,840000.0,120000.0,0.0,150000.0,77.5,4.8,2016-09-13
131,resident evil 5,255869580,17832180,65193,435,67805,483,31,73.39,8740000.0,4180000.0,2350000.0,1210000.0,990000.0,77.8,7.6,2009-03-13
132,red dead redemption,255767220,9440280,95829,488,31447,483,16,119.67,13070000.0,6590000.0,4610000.0,260000.0,1600000.0,95.0,9.0,2011-10-11
133,slime rancher,254225820,14636880,188098,553,63293,900,27,277.79,200000.0,160000.0,0.0,0.0,30000.0,74.5,7.2,2018-09-04
134,tricky towers,252917340,3478980,126066,161,23693,479,5,336.26,20000.0,20000.0,0.0,0.0,0.0,72.0,7.0,2017-11-17
135,mass effect 2,251294760,16008180,56189,188,23977,477,29,75.03,1850000.0,790000.0,780000.0,30000.0,230000.0,94.0,8.8,2011-01-18
136,guilty gear xrd rev 2,250777800,4992000,178064,61,9904,476,8,152.8,100000.0,40000.0,10000.0,30000.0,10000.0,86.0,7.9,2017-05-26
137,mafia ii,246693960,6889140,81079,140,21177,465,10,174.01,3050000.0,1350000.0,1250000.0,40000.0,400000.0,74.5,7.8,2010-08-24
138,little nightmares,244286940,9662400,86142,459,45691,464,17,71.46000000000002,550000.0,300000.0,150000.0,20000.0,80000.0,80.5,7.8,2017-04-28
139,mass effect,243262860,18233400,182397,232,37875,460,32,65.38,2910000.0,1830000.0,790000.0,30000.0,270000.0,91.0,8.7,2007-11-20
140,rock band 4,242902620,35796600,72665,271,44681,459,66,32.67,1320000.0,1030000.0,110000.0,0.0,180000.0,78.5,6.4,2015-10-06
141,we happy few,242842260,7388520,130847,514,23959,460,12,122.61,230000.0,150000.0,50000.0,0.0,30000.0,65.5,5.2,2018-08-10
142,borderlands,241866480,18711840,51098,945,45789,457,33,53.59,2290000.0,1230000.0,750000.0,0.0,320000.0,82.0,7.7,2009-10-20
143,call of duty: black ops,240650040,23962260,77814,459,66709,456,44,49.27,14880000.0,7090000.0,5260000.0,480000.0,2050000.0,81.0,6.2,2010-11-09
144,half-life,236618280,7259040,457193,100,27466,446,11,178.75,600000.0,290000.0,230000.0,0.0,80000.0,87.0,8.5,2001-11-11
145,wolfenstein ii: the new colossus,234567240,6604020,121213,464,26129,444,11,85.81,700000.0,450000.0,190000.0,0.0,70000.0,88.0,6.4,2017-10-27
146,resident evil 3: nemesis,234068640,5350500,192849,76,8849,441,8,218.26,80000.0,60000.0,20000.0,0.0,0.0,62.0,8.7,2003-01-15
147,grand theft auto: vice city,233060040,7321020,365694,81,21452,441,11,150.98,16190000.0,8410000.0,5520000.0,470000.0,1780000.0,94.5,8.8,2002-10-28
148,dishonored,230266740,13091940,441405,209,51807,436,23,81.84,2230000.0,1330000.0,690000.0,10000.0,200000.0,89.5,8.2,2013-04-16
149,football manager 2017,226051860,4584180,12180,75,4843,429,7,113.48,330000.0,0.0,310000.0,0.0,20000.0,80.0,5.3,2016-11-04
150,monster hunter generations ultimate,224172660,11516580,27896,244,7579,425,21,64.89,720000.0,270000.0,140000.0,270000.0,40000.0,80.0,8.4,2018-08-28
151,apb reloaded,219948660,27611520,60658,216,30855,416,50,39.36,40000.0,20000.0,10000.0,0.0,0.0,56.0,5.8,2011-12-01
152,l.a. noire,216986100,6925080,103701,116,17428,410,11,143.06000000000003,7240000.0,3370000.0,2850000.0,140000.0,890000.0,82.0,7.8,2011-11-15
153,don't starve,212720700,15432000,39678,154,48738,403,27,67.69,50000.0,40000.0,0.0,0.0,10000.0,78.0,7.1,2018-04-17
154,puyo puyo tetris,212402220,7824900,175521,140,13542,400,13,116.6,650000.0,270000.0,210000.0,120000.0,60000.0,82.0,7.7,2017-04-25
155,quantum break,212243820,8473620,149922,909,31635,401,14,94.16,780000.0,420000.0,270000.0,20000.0,70000.0,71.5,6.2,2016-04-05
156,spyro reignited trilogy,209316480,18163740,192804,1584,46105,397,34,23.15,2820000.0,1110000.0,1310000.0,0.0,410000.0,82.5,7.6,2018-11-13
157,salt and sanctuary,208531920,10146180,219422,482,29188,394,17,93.2,30000.0,30000.0,0.0,0.0,0.0,82.0,7.8,2018-12-11
158,steep,207075480,13052580,125291,702,78824,391,22,81.82,480000.0,240000.0,200000.0,0.0,40000.0,72.0,6.5,2016-12-02
159,yakuza kiwami,206800440,7569360,47787,262,14649,391,13,304.64,450000.0,130000.0,70000.0,210000.0,40000.0,80.0,8.0,2017-08-29
160,metal gear solid 2: sons of liberty,206514000,2202840,347930,40,3548,390,2,391.9,6050000.0,2450000.0,2010000.0,870000.0,720000.0,96.0,8.8,2001-11-12
161,bioshock infinite,203459220,12402600,62893,107,40051,384,21,84.8,1820000.0,740000.0,740000.0,40000.0,300000.0,94.0,8.5,2013-03-26
162,vampyr,202710000,10500420,115387,1250,26347,385,19,29.83,490000.0,190000.0,230000.0,0.0,70000.0,70.0,6.8,2018-06-05
163,resident evil 6,201109020,26809680,43188,433,69838,380,49,39.21,5330000.0,2160000.0,1580000.0,1000000.0,580000.0,66.0,6.1,2012-10-02
164,ultimate marvel vs. capcom 3,199055880,3757620,251369,252,14233,376,5,192.52,880000.0,480000.0,160000.0,100000.0,110000.0,78.8,7.2,2012-02-15
165,wwe 2k16,198819180,31669800,102707,393,79139,376,57,46.66,2480000.0,1010000.0,1120000.0,0.0,360000.0,74.3,6.1,2015-10-27
166,danganronpa 2: goodbye despair,198802560,7253280,47033,122,7351,375,12,138.63,180000.0,80000.0,50000.0,0.0,40000.0,81.0,8.8,2014-09-02
167,spongebob squarepants: battle for bikini bottom,198222240,2818080,224293,50,3365,375,3,302.0900000000001,3190000.0,2270000.0,740000.0,0.0,190000.0,70.7,8.6,2003-10-31
168,spongebob squarepants: battle for bikini bottom,198222240,2818080,224293,50,3365,375,3,302.0900000000001,1230000.0,880000.0,330000.0,0.0,20000.0,70.0,7.1,2003-10-31
169,beyond: two souls,197601180,4141860,57075,121,27947,373,5,251.19,1700000.0,520000.0,860000.0,60000.0,260000.0,70.0,8.1,2013-10-08
170,the king of fighters xiv,195474180,4795920,98197,223,11368,370,7,192.06,340000.0,210000.0,20000.0,60000.0,50000.0,79.0,8.2,2016-08-23
171,just dance 2019,192441780,2365320,142682,45,5027,365,3,188.28,1490000.0,880000.0,460000.0,0.0,160000.0,72.7,5.1,2018-10-23
172,nhl 19,191885340,10124100,75069,187,27361,364,18,36.52,720000.0,520000.0,90000.0,0.0,110000.0,81.0,5.6,2018-09-14
173,monopoly,191452020,2996220,161222,90,17374,362,3,345.64,3250000.0,1660000.0,1250000.0,0.0,340000.0,64.8,6.9,2008-10-20
